size,pronoun,squared,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
small,False,False,SEND,0.8168025400559603,0.9584771955933826,SAVE,0.2076900761066789,0.7923099238933211,0.11707181406085625,0.8829281859391438
small,False,False,SEND,0.8168025400559603,0.9584771955933826,SELL,0.25641511337948575,0.7435848866205143,0.05355976524465074,0.9464402347553493
small,False,False,SEND,0.8168025400559603,0.9584771955933826,SHOW,0.8338082304913894,0.16619176950861067,0.4785218538432463,0.5214781461567537
small,False,False,SEND,0.8168025400559603,0.9584771955933826,SUPPLY,0.3951277770221017,0.6048722229778982,0.08172789731552708,0.9182721026844729
small,False,False,SEND,0.8168025400559603,0.9584771955933826,DESIGN,0.024362518944473513,0.9756374810555264,0.007950221711769078,0.9920497782882309
small,False,False,SEND,0.8168025400559603,0.9584771955933826,TAKE,0.16424409305107748,0.8357559069489225,0.0343098402567306,0.9656901597432693
small,False,False,SEND,0.8168025400559603,0.9584771955933826,FEED,0.7713780008013639,0.22862199919863607,0.4529087279263548,0.5470912720736453
small,False,False,SEND,0.8168025400559603,0.9584771955933826,BUY,0.5140067352575288,0.48599326474247123,0.3006728567770242,0.6993271432229758
small,False,False,SEND,0.8168025400559603,0.9584771955933826,CATCH,0.5150853977351572,0.48491460226484284,0.32651108127604944,0.6734889187239506
small,False,False,SEND,0.8168025400559603,0.9584771955933826,DELIVER,0.6632173141165643,0.33678268588343563,0.4700896929921543,0.5299103070078457
small,False,False,SEND,0.8168025400559603,0.9584771955933826,THROW,0.60872009098067,0.39127990901932996,0.33862180086321947,0.6613781991367805
small,False,False,SEND,0.8168025400559603,0.9584771955933826,PROMISE,0.8838237583376983,0.11617624166230167,0.6210300986544602,0.37896990134553965
small,False,False,SHOW,0.4052449523709813,1.0120141999968062,BRING,0.24812468345945454,0.7518753165405454,0.09706424165501774,0.9029357583449822
small,False,False,SHOW,0.4052449523709813,1.0120141999968062,DRAW,0.2413761914246151,0.7586238085753848,0.13254026787749645,0.8674597321225036
small,False,False,SHOW,0.4052449523709813,1.0120141999968062,FIND,0.19675077457789783,0.803249225422102,0.09978740838978004,0.90021259161022
small,False,False,SHOW,0.4052449523709813,1.0120141999968062,GET,0.4042794738745751,0.5957205261254249,0.31221215248293194,0.6877878475170681
